BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
3024,6252045,3024,Plate 1 x 1,19,46,Trans-Yellow,Transparent Colors,4,0.2
3024,4159553,3024,Plate 1 x 1,2,19,Tan,Solid Colors,2,0.2
3024,4221744,3024,Plate 1 x 1,88,70,Reddish Brown,Solid Colors,4,0.2
3069b,4211151,3069b,Tile 1 x 2 with Groove,88,70,Reddish Brown,Solid Colors,2,0.26
3069b,306901,3069b,Tile 1 x 2 with Groove,1,15,White,Solid Colors,1,0.26
3070b,307021,3070b,Tile 1 x 1 with Groove (3070),5,4,Red,Solid Colors,1,0.16
3070b,4211288,3070b,Tile 1 x 1 with Groove (3070),88,70,Reddish Brown,Solid Colors,2,0.16
3070b,307026,3070b,Tile 1 x 1 with Groove (3070),11,0,Black,Solid Colors,2,0.16
3070b,4125253,3070b,Tile 1 x 1 with Groove (3070),2,19,Tan,Solid Colors,2,0.16
3176,317626,3176,"Plate, Modified 3 x 2 with Hole",11,0,Black,Solid Colors,3,0.8
33909,6196221,33909,"Tile, Modified 2 x 2 with Studs on Edge",88,70,Reddish Brown,Solid Colors,2,0.57
35480,6248944,35480,"Plate, Round 1 x 2 with Two Open Studs",88,70,Reddish Brown,Solid Colors,1,0.26
35480,6212758,35480,"Plate, Round 1 x 2 with Two Open Studs",2,19,Tan,Solid Colors,1,0.26
3622,4211220,3622,Brick 1 x 3,88,70,Reddish Brown,Solid Colors,1,1.24
36840,6238874,36840,Bracket 1 x 1 - 1 x 1 Inverted,88,70,Reddish Brown,Solid Colors,2,0.29
3700,4205107,3700,"Technic, Brick 1 x 2 with Hole",2,19,Tan,Solid Colors,1,0.82
3710,4179828,3710,Plate 1 x 4,42,73,Medium Blue,Solid Colors,4,0.71
3710,4113233,3710,Plate 1 x 4,2,19,Tan,Solid Colors,1,0.71
3710,371026,3710,Plate 1 x 4,11,0,Black,Solid Colors,3,0.71
3710,4211190,3710,Plate 1 x 4,88,70,Reddish Brown,Solid Colors,4,0.71
3958,395826,3958,Plate 6 x 6,11,0,Black,Solid Colors,1,4.71
4150,415026,4150,"Tile, Round 2 x 2",11,0,Black,Solid Colors,2,0.33
4274,4143005,4274,"Technic, Pin 1/2",7,1,Blue,Solid Colors,1,0.095
47458,4218581,47458,"Slope, Curved 1 x 2 x 2/3 Wing End",11,0,Black,Solid Colors,2,0.44
47905,6253167,47905,"Brick, Modified 1 x 1 with Studs on 2 Sides, Opposite",88,70,Reddish Brown,Solid Colors,2,0.45
4073,4161734,4073,"Plate, Round 1 x 1",2,19,Tan,Solid Colors,2,0.12
85984,4548180,85984,Slope 30 1 x 2 x 2/3,11,0,Black,Solid Colors,6,0.34
87079,4560182,87079,Tile 2 x 4,11,0,Black,Solid Colors,1,0.9
87087,6062574,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",88,70,Reddish Brown,Solid Colors,2,0.45
87087,4579260,87087,"Brick, Modified 1 x 1 with Stud on 1 Side",2,19,Tan,Solid Colors,4,0.45
87580,4565323,87580,"Plate, Modified 2 x 2 with Groove and 1 Stud in Center (Jumper)",11,0,Black,Solid Colors,2,0.5
93273,4613153,93273,"Slope, Curved 4 x 1 Double",11,0,Black,Solid Colors,3,0.6
98138,6284573,98138,"Tile, Round 1 x 1",2,19,Tan,Solid Colors,1,0.11
99206,6132769,99206,"Plate, Modified 2 x 2 x 2/3 with 2 Studs on Side",2,19,Tan,Solid Colors,2,0.87
,,m898C3B67_202136_062819.dat,Slope Brick 31 1 x 2 x 2/3 - RU*,,0,Black,Solid Colors,1,
,,m898C3B67_202136_062848.dat,Slope Brick 31 1 x 2 x 2/3 DY*,,0,Black,Solid Colors,1,
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
140,73.76501 +a,,,,,,,,
